# Weather station Prague / Vaclav Havel (airport), Czech Republic, WMO_ID=11518,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=11518&lang=en
#
"Local time in Prague / Vaclav Havel (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.08.2020 09:00";"16.9";"723.7";"755.1";"1.0";"85";"Wind blowing from the south-west";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"55.0";"14.3";"No precipitation";"1";"";"";"";"";
"29.08.2020 08:00";"16.1";"723.5";"755.1";"0.6";"86";"Wind blowing from the south-west";"6";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"";"";"50.0";"13.8";"Trace of precipitation";"1";"";"";"";"";
"29.08.2020 07:00";"15.5";"723.1";"754.7";"0.9";"93";"Wind blowing from the south-southwest";"4";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"14.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"50.0";"14.4";"6.0";"12";"Surface of ground wet (standing water in small or large pools on surface).";"15.0";"";"";
"29.08.2020 06:00";"15.4";"722.7";"754.3";"0.5";"91";"Wind blowing from the south-west";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"25.0";"13.9";"0.1";"1";"";"";"";"";
"29.08.2020 05:00";"15.6";"722.9";"754.5";"0.7";"91";"Wind blowing from the south-west";"4";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"25.0";"14.1";"Trace of precipitation";"1";"";"";"";"";
"29.08.2020 04:00";"15.7";"722.2";"753.7";"0.5";"91";"Wind blowing from the south-west";"4";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"25.0";"14.2";"No precipitation";"1";"";"";"";"";
"29.08.2020 03:00";"16.0";"722.2";"753.7";"0.5";"91";"Wind blowing from the south-southwest";"5";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"";"";"25.0";"14.5";"No precipitation";"1";"";"";"";"";
"29.08.2020 02:00";"15.9";"722.2";"753.7";"0.0";"93";"Wind blowing from the south-southwest";"4";"";"";"100%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"25.0";"14.8";"No precipitation";"1";"";"";"";"";
"29.08.2020 01:00";"15.9";"721.7";"753.2";"-0.2";"95";"Wind blowing from the south";"4";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"25.0";"15.1";"6.0";"6";"";"";"";"";
"29.08.2020 00:00";"15.7";"721.7";"753.2";"-0.7";"96";"Wind blowing from the south";"4";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"25.0";"15.1";"0.6";"1";"";"";"";"";
"28.08.2020 23:00";"15.5";"722.2";"753.8";"-0.1";"96";"Wind blowing from the south";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"10%  or less, but not 0";"100-200";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"25.0";"14.9";"0.3";"1";"";"";"";"";
"28.08.2020 22:00";"15.2";"721.9";"753.5";"-0.3";"96";"Wind blowing from the south";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"10%  or less, but not 0";"100-200";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"15.0";"14.6";"0.5";"1";"";"";"";"";
"28.08.2020 21:00";"15.0";"722.4";"754.0";"1.9";"96";"Wind blowing from the south-southeast";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"20–30%.";"100-200";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"15.0";"14.4";"1.0";"1";"";"";"";"";
"28.08.2020 20:00";"15.0";"722.3";"754.0";"1.4";"94";"Wind blowing from the south-east";"2";"";"";"100%.";"Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"14.0";"3.0";"1";"";"";"";"";
"28.08.2020 19:00";"15.4";"722.2";"753.8";"0.6";"91";"Wind blowing from the west";"4";"";"21";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"26.7";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"300-600";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"";"7.0";"13.9";"6.0";"12";"";"";"";"";
"28.08.2020 18:00";"23.2";"720.5";"751.2";"-1.4";"55";"Wind blowing from the north-northwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"10%  or less, but not 0";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"30.0";"13.7";"No precipitation";"1";"";"";"";"";
"28.08.2020 17:00";"24.9";"720.9";"751.4";"-1.4";"48";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"60.0";"13.1";"No precipitation";"1";"";"";"";"";
"28.08.2020 16:00";"25.9";"721.6";"752.0";"-1.0";"44";"Wind blowing from the south";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"70.0";"12.7";"No precipitation";"1";"";"";"";"";
"28.08.2020 15:00";"24.5";"721.9";"752.5";"-1.2";"48";"Wind blowing from the south";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"71.0";"12.9";"No precipitation";"1";"";"";"";"";
"28.08.2020 14:00";"24.5";"722.3";"752.9";"-1.2";"46";"Wind blowing from the south";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"70.0";"12.1";"No precipitation";"1";"";"";"";"";
"28.08.2020 13:00";"25.0";"722.6";"753.2";"-1.8";"45";"Wind blowing from the south";"6";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"1500-2000";"Altocumulus castellanus or floccus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"70.0";"12.1";"No precipitation";"6";"";"";"";"";
"28.08.2020 12:00";"24.0";"723.1";"753.7";"-1.7";"46";"Wind blowing from the south";"3";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1500-2000";"Altocumulus castellanus or floccus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"60.0";"11.6";"No precipitation";"1";"";"";"";"";
"28.08.2020 11:00";"23.0";"723.5";"754.3";"-1.5";"46";"Wind blowing from the south-southwest";"4";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"50.0";"10.8";"No precipitation";"1";"";"";"";"";
"28.08.2020 10:00";"21.1";"724.4";"755.5";"-0.7";"51";"Wind blowing from the south-southeast";"3";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2000-2500";"Altocumulus castellanus or floccus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"10.4";"No precipitation";"1";"";"";"";"";
"28.08.2020 09:00";"18.5";"724.8";"756.1";"-0.9";"59";"Wind blowing from the south-southeast";"3";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2000-2500";"Altocumulus castellanus or floccus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"10.4";"No precipitation";"1";"";"";"";"";
"28.08.2020 08:00";"16.5";"725.0";"756.7";"-0.9";"63";"Wind blowing from the south";"5";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2000-2500";"Altocumulus castellanus or floccus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"9.4";"No precipitation";"1";"";"";"";"";
"28.08.2020 07:00";"14.2";"725.1";"757.0";"-1.3";"69";"Wind blowing from the south-southeast";"5";"";"";"20–30%.";" ";"";"";"10.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"50.0";"8.6";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"8.0";"";"";
"28.08.2020 06:00";"11.4";"725.7";"757.9";"-1.1";"80";"Wind blowing from the south";"3";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"50.0";"8.1";"No precipitation";"1";"";"";"";"";
"28.08.2020 05:00";"10.4";"725.9";"758.3";"-1.4";"82";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"50.0";"7.5";"No precipitation";"1";"";"";"";"";
"28.08.2020 04:00";"11.0";"726.4";"758.8";"-1.3";"78";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"50.0";"7.3";"No precipitation";"1";"";"";"";"";
"28.08.2020 03:00";"11.1";"726.8";"759.1";"-1.3";"77";"Wind blowing from the south-southeast";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"50.0";"7.2";"No precipitation";"1";"";"";"";"";
"28.08.2020 02:00";"12.8";"727.3";"759.5";"-1.1";"69";"Wind blowing from the south-southeast";"4";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"50.0";"7.1";"No precipitation";"1";"";"";"";"";
"28.08.2020 01:00";"11.8";"727.7";"760.0";"-1.0";"72";"Wind blowing from the south-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"50.0";"6.9";"No precipitation";"6";"";"";"";"";
"28.08.2020 00:00";"11.7";"728.1";"760.4";"-0.7";"74";"Wind blowing from the south";"3";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"50.0";"7.2";"No precipitation";"1";"";"";"";"";
"27.08.2020 23:00";"11.3";"728.4";"760.8";"-0.7";"77";"Wind blowing from the south-southeast";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"50.0";"7.3";"No precipitation";"1";"";"";"";"";
"27.08.2020 22:00";"13.7";"728.7";"760.8";"-0.3";"63";"Wind blowing from the east-southeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"60.0";"6.8";"No precipitation";"1";"";"";"";"";
"27.08.2020 21:00";"14.7";"728.8";"760.9";"-0.3";"58";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"70.0";"6.5";"No precipitation";"1";"";"";"";"";
"27.08.2020 20:00";"14.9";"729.1";"761.2";"-0.3";"59";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"70.0";"7.0";"No precipitation";"1";"";"";"";"";
